no,state_name,district_name
314. Madhya Pradesh (MP), Khandwa Khandwa
315. Madhya Pradesh (MP), Khargone Khargone
316. Madhya Pradesh (MP), Mandla Mandla
317. Madhya Pradesh (MP), Mandsaur Mandsaur
318. Madhya Pradesh (MP), Morena Morena
319. Madhya Pradesh (MP), Narsinghpur Narsinghpur
320. Madhya Pradesh (MP), Neemuch Neemuch
321. Madhya Pradesh (MP), Panna Panna
322. Madhya Pradesh (MP), Raisen Raisen
323. Madhya Pradesh (MP), Rajgarh Rajgarh
324. Madhya Pradesh (MP), Ratlam Ratlam
325. Madhya Pradesh (MP), Rewa Rewa
326. Madhya Pradesh (MP), Sagar Sagar
327. Madhya Pradesh (MP), Satna Satna
328. Madhya Pradesh (MP), Sehore Sehore
329. Madhya Pradesh (MP), Seoni Seoni
330. Madhya Pradesh (MP), Shahdol Shahdol
331. Madhya Pradesh (MP), Shajapur Shajapur
332. Madhya Pradesh (MP), Sheopur Sheopur
333. Madhya Pradesh (MP), Shivpuri Shivpuri
334. Madhya Pradesh (MP), Sidhi Sidhi
335. Madhya Pradesh (MP), Singrauli Singrauli
336. Madhya Pradesh (MP), Tikamgarh Tikamgarh
337. Madhya Pradesh (MP), Ujjain Ujjain
338. Madhya Pradesh (MP), Umaria Umaria
339. Madhya Pradesh (MP), Vidisha Vidisha
340. Maharashtra (MH), Ahmednagar Ahmednagar
341. Maharashtra (MH), Akola Akola
342. Maharashtra (MH), Amravati Amravati
343. Maharashtra (MH), Aurangabad Aurangabad
344. Maharashtra (MH), Beed Beed
345. Maharashtra (MH), Bhandara Bhandara
346. Maharashtra (MH), Buldhana Buldhana
347. Maharashtra (MH), Chandrapur Chandrapur
348. Maharashtra (MH), Dhule Dhule
349. Maharashtra (MH), Gadchiroli Gadchiroli
350. Maharashtra (MH), Gondia Gondia
351. Maharashtra (MH), Hingoli Hingoli
352. Maharashtra (MH), Jalgaon Jalgaon
353. Maharashtra (MH), Jalna Jalna
354. Maharashtra (MH), Kolhapur Kolhapur
355. Maharashtra (MH), Latur Latur
356. Maharashtra (MH), Mumbai City Mumbai
357. Maharashtra (MH), Mumbai Suburban Bandra
358. Maharashtra (MH), Nagpur Nagpur
359. Maharashtra (MH), Nanded Nanded
360. Maharashtra (MH), Nandurbar Nandurbar
361. Maharashtra (MH), Nashik Nashik
362. Maharashtra (MH), Osmanabad Osmanabad
363. Maharashtra (MH), Palghar Palghar
364. Maharashtra (MH), Parbhani Parbhani
365. Maharashtra (MH), Pune Pune
366. Maharashtra (MH), Raigad Alibag
367. Maharashtra (MH), Ratnagiri Ratnagiri
368. Maharashtra (MH), Sangli Sangli
369. Maharashtra (MH), Satara Satara
370. Maharashtra (MH), Sindhudurg Oros
371. Maharashtra (MH), Solapur Solapur
372. Maharashtra (MH), Thane Thane
373. Maharashtra (MH), Wardha Wardha
374. Maharashtra (MH), Washim Washim
375. Maharashtra (MH), Yavatmal Yavatmal
376. Manipur (MN), Bishnupur Bishnupur
377. Manipur (MN), Chandel Chandel
378. Manipur (MN), Churachandpur Churachandpur
379. Manipur (MN), Imphal East Porompat
380. Manipur (MN), Imphal West Imphal
381. Manipur (MN), Jiribam Jiribam
382. Manipur (MN), Kakching Kakching
383. Manipur (MN), Kamjong Kamjong
384. Manipur (MN), Kangpokpi Kangpokpi
385. Manipur (MN), Noney Noney
386. Manipur (MN), Pherzawl Pherzawl
387. Manipur (MN), Senapati Senapati
388. Manipur (MN), Tamenglong Tamenglong
389. Manipur (MN), Tengnoupal Tengnoupal
390. Manipur (MN), Thoubal Thoubal
391. Manipur (MN), Ukhrul Ukhrul
392. Meghalaya (ML), East Garo Hills Williamnagar
393. Meghalaya (ML), East Jaintia Hills Khliehriat
394. Meghalaya (ML), East Khasi Hills Shillong
395. Meghalaya (ML), North Garo Hills Resubelpara
396. Meghalaya (ML), Ri-Bhoi Nongpoh
397. Meghalaya (ML), South Garo Hills Baghmara
398. Meghalaya (ML), South West Garo Hills Ampati
399. Meghalaya (ML), South West Khasi Hills Mawkyrwat
400. Meghalaya (ML), West Garo Hills Tura
401. Meghalaya (ML), West Jaintia Hills Jowai
402. Meghalaya (ML), West Khasi Hills Nongstoin
403. Mizoram (MZ), Aizawl Aizawl
404. Mizoram (MZ), Champhai Champhai
405. Mizoram (MZ), Hnahthial Hnahthial
406. Mizoram (MZ), Khawzawl Khawzawl
407. Mizoram (MZ), Kolasib Kolasib
408. Mizoram (MZ), Lawngtlai Lawngtlai
409. Mizoram (MZ), Lunglei Lunglei
410. Mizoram (MZ), Mamit Mamit
411. Mizoram (MZ), Saiha Saiha
412. Mizoram (MZ), Saitual Saitual
413. Mizoram (MZ), Serchhip Serchhip
414. Nagaland (NL), Dimapur Dimapur
415. Nagaland (NL), Kiphire Kiphire
416. Nagaland (NL), Kohima Kohima
417. Nagaland (NL), Longleng Longleng
418. Nagaland (NL), Mokokchung Mokokchung
419. Nagaland (NL), Mon Mon
420. Nagaland (NL), Noklak Noklak
421. Nagaland (NL), Peren Peren
422. Nagaland (NL), Phek Phek
423. Nagaland (NL), Tuensang Tuensang
424. Nagaland (NL), Wokha Wokha
425. Nagaland (NL), Zunheboto Zunheboto
426. Odisha (OD), Angul Angul
427. Odisha (OD), Balangir Balangir
428. Odisha (OD), Balasore Balasore
429. Odisha (OD), Bargarh Bargarh
430. Odisha (OD), Bhadrak Bhadrak
431. Odisha (OD), Boudh Boudh
432. Odisha (OD), Cuttack Cuttack
433. Odisha (OD), Deogarh Deogarh
434. Odisha (OD), Dhenkanal Dhenkanal
435. Odisha (OD), Gajapati Paralakhemundi
436. Odisha (OD), Ganjam Chhatrapur
437. Odisha (OD), Jagatsinghpur Jagatsinghpur
438. Odisha (OD), Jajpur Jajpur
439. Odisha (OD), Jharsuguda Jharsuguda
440. Odisha (OD), Kalahandi Bhawanipatna
441. Odisha (OD), Kandhamal Phulbani
442. Odisha (OD), Kendrapara Kendrapara
443. Odisha (OD), Kendujhar Kendujhar
444. Odisha (OD), Khordha Khordha
445. Odisha (OD), Koraput Koraput
446. Odisha (OD), Malkangiri Malkangiri
447. Odisha (OD), Mayurbhanj Baripada
448. Odisha (OD), Nabarangpur Nabarangpur
449. Odisha (OD), Nayagarh Nayagarh
450. Odisha (OD), Nuapada Nuapada
451. Odisha (OD), Puri Puri
452. Odisha (OD), Rayagada Rayagada
453. Odisha (OD), Sambalpur Sambalpur
454. Odisha (OD), Subarnapur Sonepur
455. Odisha (OD), Sundargarh Sundargarh
456. Puducherry (PY), Karaikal Karaikal
457. Puducherry (PY), Mahe Mahe
458. Puducherry (PY), Puducherry Puducherry
459. Puducherry (PY), Yanam Yanam
460. Punjab (PB), Amritsar Amritsar
461. Punjab (PB), Barnala Barnala
462. Punjab (PB), Bathinda Bathinda
463. Punjab (PB), Faridkot Faridkot
464. Punjab (PB), Fatehgarh Sahib Fatehgarh Sahib
465. Punjab (PB), Fazilka Fazilka
466. Punjab (PB), Firozpur Firozpur
467. Punjab (PB), Gurdaspur Gurdaspur
468. Punjab (PB), Hoshiarpur Hoshiarpur
469. Punjab (PB), Jalandhar Jalandhar
470. Punjab (PB), Kapurthala Kapurthala
471. Punjab (PB), Ludhiana Ludhiana
472. Punjab (PB), Mansa Mansa
473. Punjab (PB), Moga Moga
474. Punjab (PB), Muktsar Muktsar
475. Punjab (PB), Pathankot Pathankot
476. Punjab (PB), Patiala Patiala
477. Punjab (PB), Rupnagar Rupnagar
478. Punjab (PB), Sahibzada Ajit Singh Nagar Mohali
479. Punjab (PB), Sangrur Sangrur
480. Punjab (PB), Shahid Bhagat Singh Nagar Nawanshahr
481. Punjab (PB), Sri Muktsar Sahib Malout
482. Punjab (PB), Tarn Taran Tarn Taran
483. Rajasthan (RJ), Ajmer Ajmer
484. Rajasthan (RJ), Alwar Alwar
485. Rajasthan (RJ), Banswara Banswara
486. Rajasthan (RJ), Baran Baran
487. Rajasthan (RJ), Barmer Barmer
488. Rajasthan (RJ), Bharatpur Bharatpur
489. Rajasthan (RJ), Bhilwara Bhilwara
490. Rajasthan (RJ), Bikaner Bikaner
491. Rajasthan (RJ), Bundi Bundi
492. Rajasthan (RJ), Chittorgarh Chittorgarh
493. Rajasthan (RJ), Churu Churu
494. Rajasthan (RJ), Dausa Dausa
495. Rajasthan (RJ), Dholpur Dholpur
496. Rajasthan (RJ), Dungarpur Dungarpur
497. Rajasthan (RJ), Hanumangarh Hanumangarh
498. Rajasthan (RJ), Jaipur Jaipur
499. Rajasthan (RJ), Jaisalmer Jaisalmer
500. Rajasthan (RJ), Jalore Jalore
501. Rajasthan (RJ), Jhalawar Jhalawar
502. Rajasthan (RJ), Jhunjhunu Jhunjhunu
503. Rajasthan (RJ), Jodhpur Jodhpur
504. Rajasthan (RJ), Karauli Karauli
505. Rajasthan (RJ), Kota Kota
506. Rajasthan (RJ), Nagaur Nagaur
507. Rajasthan (RJ), Pali Pali
508. Rajasthan (RJ), Pratapgarh Pratapgarh
509. Rajasthan (RJ), Rajsamand Rajsamand
510. Rajasthan (RJ), Sawai Madhopur Sawai Madhopur
511. Rajasthan (RJ), Sikar Sikar
512. Rajasthan (RJ), Sirohi Sirohi
513. Rajasthan (RJ), Sri Ganganagar Sri Ganganagar
514. Rajasthan (RJ), Tonk Tonk
515. Rajasthan (RJ), Udaipur Udaipur
516. Sikkim (SK), East Sikkim Gangtok
517. Sikkim (SK), North Sikkim Mangan
518. Sikkim (SK), South Sikkim Namchi
519. Sikkim (SK), West Sikkim Gyalshing
520. Tamil Nadu (TN), Ariyalur Ariyalur
521. Tamil Nadu (TN), Chengalpattu Chengalpattu
522. Tamil Nadu (TN), Chennai Chennai
523. Tamil Nadu (TN), Coimbatore Coimbatore
524. Tamil Nadu (TN), Cuddalore Cuddalore
525. Tamil Nadu (TN), Dharmapuri Dharmapuri
526. Tamil Nadu (TN), Dindigul Dindigul
527. Tamil Nadu (TN), Erode Erode
528. Tamil Nadu (TN), Kallakurichi Kallakurichi
529. Tamil Nadu (TN), Kancheepuram Kancheepuram
530. Tamil Nadu (TN), Kanyakumari Nagercoil
531. Tamil Nadu (TN), Karur Karur
532. Tamil Nadu (TN), Krishnagiri Krishnagiri
533. Tamil Nadu (TN), Madurai Madurai
534. Tamil Nadu (TN), Nagapattinam Nagapattinam
535. Tamil Nadu (TN), Namakkal Namakkal
536. Tamil Nadu (TN), Nilgiris Udhagamandalam
537. Tamil Nadu (TN), Perambalur Perambalur
538. Tamil Nadu (TN), Pudukkottai Pudukkottai
539. Tamil Nadu (TN), Ramanathapuram Ramanathapuram
540. Tamil Nadu (TN), Ranipet Ranipet
541. Tamil Nadu (TN), Salem Salem
542. Tamil Nadu (TN), Sivaganga Sivaganga
543. Tamil Nadu (TN), Tenkasi Tenkasi
544. Tamil Nadu (TN), Thanjavur Thanjavur
545. Tamil Nadu (TN), Theni Theni
546. Tamil Nadu (TN), Thoothukudi Thoothukudi
547. Tamil Nadu (TN), Tiruchirappalli Tiruchirappalli
548. Tamil Nadu (TN), Tirunelveli Tirunelveli
549. Tamil Nadu (TN), Tirupathur Tirupathur
550. Tamil Nadu (TN), Tiruppur Tiruppur
551. Tamil Nadu (TN), Tiruvallur Tiruvallur
552. Tamil Nadu (TN), Tiruvannamalai Tiruvannamalai
553. Tamil Nadu (TN), Tiruvarur Tiruvarur
554. Tamil Nadu (TN), Vellore Vellore
555. Tamil Nadu (TN), Viluppuram Viluppuram
556. Tamil Nadu (TN), Virudhunagar Virudhunagar
557. Telangana (TS), Adilabad Adilabad
558. Telangana (TS), Bhadradri Kothagudem Kothagudem
559. Telangana (TS), Hyderabad Hyderabad
560. Telangana (TS), Jagtial Jagtial
561. Telangana (TS), Jangaon Jangaon
562. Telangana (TS), Jayashankar Bhupalpally Bhupalpally
563. Telangana (TS), Jogulamba Gadwal Gadwal
564. Telangana (TS), Kamareddy Kamareddy
565. Telangana (TS), Karimnagar Karimnagar
566. Telangana (TS), Khammam Khammam
567. Telangana (TS), Kumuram Bheem Asifabad Kumuram Bheem
568. Telangana (TS), Mahabubabad Mahabubabad
569. Telangana (TS), Mahabubnagar Mahabubnagar
570. Telangana (TS), Mancherial Mancherial
571. Telangana (TS), Medak Medak
572. Telangana (TS), Medchal-Malkajgiri Malkajgiri
573. Telangana (TS), Mulugu Mulugu
574. Telangana (TS), Nagarkurnool Nagarkurnool
575. Telangana (TS), Nalgonda Nalgonda
576. Telangana (TS), Narayanpet Narayanpet
577. Telangana (TS), Nirmal Nirmal
578. Telangana (TS), Nizamabad Nizamabad
579. Telangana (TS), Peddapalli Peddapalli
580. Telangana (TS), Rajanna Sircilla Rajanna Sircilla
581. Telangana (TS), Rangareddy Rangareddy
582. Telangana (TS), Sangareddy Sangareddy
583. Telangana (TS), Siddipet Siddipet
584. Telangana (TS), Suryapet Suryapet
585. Telangana (TS), Vikarabad Vikarabad
586. Telangana (TS), Wanaparthy Wanaparthy
587. Telangana (TS), Warangal Rural Warangal Rural
588. Telangana (TS), Warangal Urban Warangal Urban
589. Telangana (TS), Yadadri Bhuvanagiri Yadadri Bhuvanagiri
590. Tripura (TR), Dhalai Ambassa
591. Tripura (TR), Gomati Udaipur
592. Tripura (TR), Khowai Khowai
593. Tripura (TR), North Tripura Dharmanagar
594. Tripura (TR), Sepahijala Bishramganj
595. Tripura (TR), South Tripura Belonia
596. Tripura (TR), Unakoti Kailasahar
597. Tripura (TR), West Tripura Agartala
598. Uttar Pradesh (UP), Agra Agra
599. Uttar Pradesh (UP), Aligarh Aligarh
600. Uttar Pradesh (UP), Ambedkar Nagar Akbarpur
601. Uttar Pradesh (UP), Amethi Gauriganj
602. Uttar Pradesh (UP), Amroha Amroha
603. Uttar Pradesh (UP), Auraiya Auraiya
604. Uttar Pradesh (UP), Ayodhya Ayodhya
605. Uttar Pradesh (UP), Azamgarh Azamgarh
606. Uttar Pradesh (UP), Badaun Badaun
607. Uttar Pradesh (UP), Baghpat Baghpat
608. Uttar Pradesh (UP), Bahraich Bahraich
609. Uttar Pradesh (UP), Balarampur Balrampur
610. Uttar Pradesh (UP), Ballia Ballia
611. Uttar Pradesh (UP), Banda Banda
612. Uttar Pradesh (UP), Barabanki Barabanki
613. Uttar Pradesh (UP), Bareilly Bareilly
614. Uttar Pradesh (UP), Basti Basti
615. Uttar Pradesh (UP), Bhadohi Bhadohi
616. Uttar Pradesh (UP), Bijnor Bijnor
617. Uttar Pradesh (UP), Budaun Budaun
618. Uttar Pradesh (UP), Bulandshahr Bulandshahr
619. Uttar Pradesh (UP), Chandauli Chandauli
620. Uttar Pradesh (UP), Chitrakoot Chitrakoot
621. Uttar Pradesh (UP), Deoria Deoria
622. Uttar Pradesh (UP), Etah Etah
623. Uttar Pradesh (UP), Etawah Etawah
624. Uttar Pradesh (UP), Faizabad Faizabad
625. Uttar Pradesh (UP), Farrukhabad